camera	frame	cX	cY
right	31	631	359
right	32	631	359
right	33	631	359
right	34	631	359
right	41	211	446
right	42	211	446
left	50	225	24
right	50	91	42
left	51	225	24
right	51	91	42
left	52	225	24
right	52	91	42
left	53	225	24
right	53	91	42
left	54	223	25
right	54	89	43
left	55	223	25
right	55	89	43
left	56	223	25
right	56	89	43
left	57	223	25
right	57	89	43
right	62	629	358
left	69	207	85
right	69	82	97
left	70	207	85
right	70	82	97
left	71	207	85
right	71	82	97
left	72	207	85
right	72	82	97
left	73	203	86
right	73	80	98
right	73	630	358
left	74	203	86
right	74	80	98
right	74	630	358
left	75	203	86
right	75	80	98
right	75	630	358
left	76	93	118
right	76	80	98
right	76	630	358
left	77	93	118
right	77	73	116
right	77	631	358
left	78	93	118
right	78	73	116
right	78	631	358
left	79	93	118
right	79	73	116
right	79	631	358
left	80	93	117
right	80	73	116
left	81	93	117
right	81	73	116
left	82	93	117
right	82	73	116
left	83	93	117
right	83	73	116
left	88	177	139
right	88	61	147
right	88	631	359
left	89	177	139
right	89	61	147
right	89	631	359
left	90	177	139
right	90	61	147
right	90	631	359
left	91	174	140
right	91	61	147
right	91	631	359
left	92	174	140
right	92	60	148
left	93	174	140
right	93	60	148
left	94	174	140
right	94	60	148
left	103	159	185
right	103	46	191
left	104	159	185
right	104	46	191
left	105	159	185
right	105	46	191
left	106	159	185
right	106	46	191
left	107	156	185
right	107	44	191
left	108	156	185
right	108	44	191
left	109	156	185
right	109	44	191
right	110	632	357
right	111	632	357
right	112	632	357
right	113	632	357
left	122	132	241
right	122	24	242
left	123	132	241
right	123	24	242
left	124	132	241
right	124	24	242
left	137	93	297
left	138	93	297
left	139	93	297
left	152	64	335
right	152	630	359
left	153	64	335
right	153	630	359
left	154	64	335
right	154	630	359
right	154	37	467
right	155	630	359
right	159	631	358
right	160	631	358
right	161	631	358
right	162	631	358
left	167	37	360
left	168	37	360
left	169	37	359
left	170	36	360
left	171	36	360
left	172	36	360
left	173	36	360
left	182	16	392
left	183	16	392
left	184	16	392
right	184	629	358
right	185	629	358
right	197	629	359
right	198	629	359
right	199	629	359
right	200	629	359
right	204	632	359
right	205	632	359
right	206	632	359
right	207	632	359
right	219	45	462
right	220	45	462
right	221	45	462
right	222	45	462
left	242	204	314
left	243	204	314
left	244	204	314
right	249	630	359
right	250	630	359
right	251	630	359
right	252	630	359
right	265	632	359
right	266	632	359
right	267	632	359
right	283	632	359
right	284	632	359
right	285	632	359
right	286	632	359
right	300	31	475
right	301	31	475
right	332	630	359
right	333	630	359
right	334	630	358
right	335	630	359
right	336	629	358
right	337	629	358
right	338	629	358
right	347	630	359
right	348	630	359
right	349	630	359
right	350	630	359
right	358	631	358
right	359	631	358
right	360	631	359
right	361	631	359
