	camera	frame	cX	cY	pulse
4	left	29	258	23	p1
5	left	30	258	23	p1
6	left	31	258	23	p1
7	left	32	258	23	p1
0	left	33	256	23	p1
1	left	34	256	23	p1
2	left	35	256	23	p1
3	left	36	256	23	p1
63	right	86	630	358	noise
64	right	87	630	358	noise
65	right	88	630	358	noise
66	right	89	630	358	noise
71	right	90	110	206	p11
72	right	91	110	206	p11
73	right	92	110	206	p11
67	right	93	104	207	p11
68	right	94	104	207	p11
69	right	95	104	207	p11
70	right	96	104	207	p11
74	right	90	630	357	noise
75	right	91	630	358	noise
76	right	92	630	358	noise
77	right	93	630	358	noise
78	right	94	630	358	noise
79	right	95	630	358	noise
80	right	96	630	358	noise
81	right	105	573	353	p13
82	right	106	573	353	p13
83	right	107	573	353	p13
88	right	108	59	276	p14
89	right	109	59	276	p14
90	right	110	59	276	p14
91	right	111	59	276	p14
84	right	112	55	274	p14
85	right	113	55	274	p14
86	right	114	55	274	p14
87	right	115	55	274	p14
92	right	116	173	356	p15
96	right	116	176	355	p15
93	right	117	173	356	p15
97	right	117	176	355	p15
94	right	118	173	356	p15
98	right	118	176	355	p15
95	right	119	173	356	p15
99	right	119	176	355	p15
100	right	116	189	354	p16
101	right	117	189	354	p16
102	right	118	189	354	p16
103	right	119	189	354	p16
104	right	116	207	371	p17
108	right	116	216	376	p17
105	right	117	207	371	p17
109	right	117	216	376	p17
106	right	118	207	371	p17
110	right	118	216	376	p17
107	right	119	207	371	p17
111	right	119	216	376	p17
116	right	120	533	354	p18
117	right	121	533	354	p18
118	right	122	533	354	p18
112	right	123	525	346	p18
113	right	124	525	346	p18
114	right	125	525	346	p18
115	right	126	525	346	p18
119	right	116	544	357	p19
120	right	117	544	357	p19
121	right	118	544	357	p19
122	right	119	544	357	p19
8	right	1	629	358	noise
9	right	2	629	358	noise
10	right	18	629	357	noise
11	right	19	629	357	noise
12	right	20	629	358	noise
13	right	21	629	358	noise
125	right	112	559	355	p20
126	right	113	559	355	p20
124	right	114	559	354	p20
123	right	115	558	355	p20
127	right	108	570	353	p21
128	right	109	570	353	p21
129	right	110	570	353	p21
130	right	111	570	353	p21
131	right	108	629	357	noise
132	right	109	629	357	noise
133	right	110	629	357	noise
134	right	111	629	357	noise
135	right	112	630	358	noise
136	right	113	630	358	noise
137	right	114	630	358	noise
138	right	115	630	358	noise
139	left	52	280	44	p23
140	left	53	280	44	p23
141	left	54	280	44	p23
142	left	55	280	44	p23
143	left	56	285	40	p23
144	left	57	285	40	p23
145	left	58	285	40	p23
146	left	59	289	38	p23
147	left	60	289	38	p23
148	left	61	289	38	p23
149	left	62	289	38	p23
152	right	127	45	324	p24
153	right	128	45	324	p24
150	right	129	44	324	p24
151	right	130	44	324	p24
154	right	131	45	324	p24
155	right	132	45	324	p24
156	right	133	45	324	p24
157	right	134	45	324	p24
158	right	146	51	397	p25
159	right	147	51	397	p25
160	right	148	51	397	p25
161	right	149	51	397	p25
162	right	129	524	336	too_short
163	right	130	524	336	too_short
164	right	142	524	354	p27
165	right	143	524	354	p27
166	right	144	524	354	p27
167	right	145	524	354	p27
168	right	127	525	336	too_short
169	right	128	525	336	too_short
170	right	138	526	352	too_short
171	right	139	526	352	too_short
16	right	22	129	394	p3
17	right	23	129	394	p3
14	right	24	128	394	p3
15	right	25	128	394	p3
172	right	131	527	336	p30
173	right	132	527	336	p30
174	right	133	527	336	p30
175	right	134	527	336	p30
176	right	135	527	344	p30
