	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	spulse
0	left	p1	50	57	223	225	223	24	25	24	sp1
4	left	p15	69	75	203	207	207	85	86	85	sp2
7	left	p20	76	83	93	93	93	117	118	117	sp3
8	left	p23	88	94	174	177	174	139	140	140	sp4
9	left	p24	103	109	156	159	159	185	185	185	sp5
10	left	p25	122	124	132	132	132	241	241	241	sp6
1	right	p10	88	94	60	61	61	147	148	147	sp4
2	right	p12	103	109	44	46	46	191	191	191	sp5
3	right	p14	122	124	24	24	24	242	242	242	sp6
14	right	p6	50	57	89	91	89	42	43	42	sp1
15	right	p7	77	83	73	73	73	116	116	116	sp3
16	right	p8	69	76	80	82	80	97	98	97	sp2
