	camera	pulse	start	finish	minx	maxx	miny	maxy	modey	spulse
11	left	p23	52	62	280	289	38	44	38	sp1
20	left	p37	71	81	307	318	101	103	102	sp2
21	left	p38	89	96	281	289	204	205	204	sp3
22	left	p39	108	115	208	214	277	280	280	sp4
25	left	p41	127	134	182	183	331	331	331	sp5
27	left	p43	146	149	188	188	410	410	410	sp6
1	right	p11	90	96	104	110	206	207	207	sp3
3	right	p14	108	115	55	59	274	276	274	sp4
12	right	p24	127	134	44	45	324	324	324	sp5
13	right	p25	146	149	51	51	397	397	397	sp6
31	right	p8	52	62	141	144	49	55	51	sp1
32	right	p9	71	81	136	138	109	112	110	sp2
