camera	frame	cX	cY
left	118	297	257
left	119	297	257
left	120	297	257
left	121	297	257
left	122	299	263
left	123	299	263
left	124	299	263
left	125	299	263
left	126	301	266
left	127	301	266
left	128	301	266
left	129	301	266
left	130	302	268
left	131	302	268
left	132	302	268
left	133	303	270
left	134	303	270
left	135	303	270
left	136	303	270
left	137	303	272
left	138	303	272
left	139	303	272
left	140	303	272
left	141	303	273
left	142	303	273
left	143	303	273
left	144	303	273
left	145	303	274
left	146	303	274
left	147	303	274
left	148	305	275
left	149	305	275
left	150	305	275
left	151	305	275
left	152	305	277
left	153	305	277
left	154	305	277
left	155	305	277
left	156	306	278
left	157	306	278
left	158	306	278
left	159	306	278
left	160	307	279
left	161	307	279
left	162	307	279
left	163	308	282
left	164	308	282
left	165	308	282
left	166	308	282
left	167	309	283
left	168	309	283
left	169	309	283
left	170	309	283
left	171	309	285
left	172	309	285
left	173	309	285
left	174	309	285
left	175	309	287
left	176	309	287
left	177	309	287
left	178	310	289
left	179	310	289
left	180	310	289
left	181	310	289
left	182	310	291
left	183	310	291
left	184	310	291
left	185	310	291
left	186	311	293
left	187	311	293
left	188	311	293
left	189	311	293
left	190	311	294
left	191	311	294
left	192	311	294
left	193	312	296
left	194	312	296
left	195	312	296
left	196	312	296
left	197	313	298
left	198	313	298
left	199	313	298
left	200	313	298
left	201	314	300
left	202	314	300
left	203	314	300
left	204	314	300
left	205	315	301
left	206	315	301
left	207	315	301
left	208	316	304
left	209	316	304
left	210	316	304
left	211	316	304
left	212	316	306
left	213	316	306
left	214	316	306
left	215	316	306
left	216	316	308
left	217	316	308
left	218	316	308
left	219	316	308
left	220	316	310
left	221	316	310
left	222	316	310
left	223	316	310
left	224	316	312
left	225	316	312
left	226	316	312
left	227	316	315
left	228	316	315
left	229	316	315
left	230	316	315
left	231	315	318
left	232	315	318
left	233	315	318
left	234	315	318
left	235	315	320
left	236	315	320
left	237	315	320
right	237	536	414
left	238	315	320
right	238	536	414
left	239	315	322
right	239	536	414
left	240	315	322
right	240	38	251
right	240	536	414
left	241	315	322
right	241	38	251
right	241	536	414
left	242	422	306
left	242	315	324
right	242	38	251
right	242	536	414
left	243	422	306
left	243	315	324
right	243	38	251
right	243	536	414
left	244	422	306
left	244	315	324
right	244	39	252
right	244	536	415
left	245	422	306
left	245	315	324
right	245	39	252
right	245	536	415
left	246	422	308
left	246	315	326
right	246	39	252
right	246	536	415
left	247	422	308
left	247	315	326
right	247	39	252
right	247	536	415
left	248	422	308
left	248	315	326
right	248	536	417
left	249	422	308
left	249	315	326
right	249	536	417
left	250	422	308
left	250	314	327
right	250	536	417
left	251	422	308
left	251	314	327
right	251	536	417
left	252	422	308
left	252	314	327
left	253	422	308
left	253	314	327
left	254	422	308
left	254	315	329
left	255	422	308
left	255	315	329
right	255	537	417
left	256	422	308
left	256	315	329
right	256	537	417
left	257	422	309
left	257	315	331
right	257	537	417
left	258	422	309
left	258	315	331
right	258	537	417
left	259	422	309
left	259	315	331
left	260	422	309
left	260	315	331
left	261	423	310
left	261	315	334
left	262	423	310
left	262	315	334
left	263	423	310
left	263	315	334
left	264	423	310
left	264	315	334
left	265	422	310
