	camera	frame	cX	cY	pulse
0	left	118	297	257	p1
1	left	119	297	257	p1
2	left	120	297	257	p1
3	left	121	297	257	p1
4	left	122	299	263	p1
5	left	123	299	263	p1
6	left	124	299	263	p1
7	left	125	299	263	p1
8	left	126	301	266	p1
9	left	127	301	266	p1
10	left	128	301	266	p1
11	left	129	301	266	p1
12	left	130	302	268	p1
13	left	131	302	268	p1
14	left	132	302	268	p1
15	left	133	303	270	p1
16	left	134	303	270	p1
17	left	135	303	270	p1
18	left	136	303	270	p1
19	left	137	303	272	p1
20	left	138	303	272	p1
21	left	139	303	272	p1
22	left	140	303	272	p1
23	left	141	303	273	p1
24	left	142	303	273	p1
25	left	143	303	273	p1
26	left	144	303	273	p1
27	left	145	303	274	p1
28	left	146	303	274	p1
29	left	147	303	274	p1
30	left	148	305	275	p1
31	left	149	305	275	p1
32	left	150	305	275	p1
33	left	151	305	275	p1
34	left	152	305	277	p1
35	left	153	305	277	p1
36	left	154	305	277	p1
37	left	155	305	277	p1
38	left	156	306	278	p1
39	left	157	306	278	p1
40	left	158	306	278	p1
41	left	159	306	278	p1
42	left	160	307	279	p1
43	left	161	307	279	p1
44	left	162	307	279	p1
45	left	163	308	282	p1
46	left	164	308	282	p1
47	left	165	308	282	p1
48	left	166	308	282	p1
49	left	167	309	283	p1
50	left	168	309	283	p1
51	left	169	309	283	p1
52	left	170	309	283	p1
53	left	171	309	285	p1
54	left	172	309	285	p1
55	left	173	309	285	p1
56	left	174	309	285	p1
57	left	175	309	287	p1
58	left	176	309	287	p1
59	left	177	309	287	p1
60	left	178	310	289	p1
61	left	179	310	289	p1
62	left	180	310	289	p1
63	left	181	310	289	p1
64	left	182	310	291	p1
65	left	183	310	291	p1
66	left	184	310	291	p1
67	left	185	310	291	p1
68	left	186	311	293	p1
69	left	187	311	293	p1
70	left	188	311	293	p1
71	left	189	311	293	p1
72	left	190	311	294	p1
73	left	191	311	294	p1
74	left	192	311	294	p1
75	left	193	312	296	p1
76	left	194	312	296	p1
77	left	195	312	296	p1
78	left	196	312	296	p1
79	left	197	313	298	p1
80	left	198	313	298	p1
81	left	199	313	298	p1
82	left	200	313	298	p1
83	left	201	314	300	p1
84	left	202	314	300	p1
85	left	203	314	300	p1
86	left	204	314	300	p1
466	left	370	456	332	noise
467	left	371	456	332	noise
468	left	372	456	332	noise
469	left	373	456	332	noise
470	left	374	456	333	noise
471	left	375	456	333	noise
472	left	376	456	333	noise
473	left	377	456	333	noise
474	left	381	456	335	noise
475	left	382	456	335	noise
476	left	383	456	335	noise
477	left	384	456	335	noise
478	left	385	456	336	noise
479	left	386	456	336	noise
480	left	387	456	336	noise
481	left	388	456	336	noise
482	left	389	456	337	noise
483	left	390	456	337	noise
484	left	391	456	337	noise
485	left	392	456	337	noise
486	left	393	456	337	noise
487	left	394	456	337	noise
488	left	395	456	337	noise
489	left	400	456	338	noise
490	left	401	456	338	noise
491	left	402	456	338	noise
492	left	403	456	338	noise
493	left	404	456	338	noise
494	left	405	456	338	noise
495	left	406	456	338	noise
496	left	407	456	338	noise
497	left	408	456	339	noise
498	left	409	456	339	noise
499	left	410	456	339	noise
500	left	411	456	340	noise
501	left	412	456	340	noise
502	left	413	456	340	noise
503	left	414	456	340	noise
508	left	415	457	341	p10
509	left	416	457	341	p10
510	left	417	457	341	p10
511	left	418	457	341	p10
512	left	419	457	342	p10
513	left	420	457	342	p10
514	left	421	457	342	p10
515	left	422	457	342	p10
516	left	423	457	342	p10
517	left	424	457	342	p10
518	left	425	457	342	p10
519	left	426	457	343	p10
520	left	427	457	343	p10
521	left	428	457	343	p10
522	left	429	457	343	p10
534	left	430	458	344	p10
535	left	431	458	344	p10
536	left	432	458	344	p10
537	left	433	458	344	p10
523	left	434	457	346	p10
524	left	435	457	346	p10
525	left	436	457	346	p10
526	left	437	457	346	p10
527	left	438	457	346	p10
528	left	439	457	346	p10
529	left	440	457	346	p10
530	left	441	457	347	p10
531	left	442	457	347	p10
532	left	443	457	347	p10
533	left	444	457	347	p10
504	left	445	456	348	noise
505	left	446	456	348	noise
506	left	447	456	348	noise
507	left	448	456	348	noise
538	left	325	509	345	p11
539	left	326	509	345	p11
540	left	327	509	345	p11
541	left	328	509	345	p11
542	left	329	509	345	p11
543	left	330	509	345	p11
544	left	331	509	345	p11
545	left	332	510	346	p11
546	left	333	510	346	p11
547	left	334	510	346	p11
548	left	335	510	346	p11
549	left	336	510	347	p11
550	left	337	510	347	p11
551	left	338	510	348	p11
552	left	339	510	348	p11
553	left	340	510	349	p11
554	left	341	510	349	p11
555	left	342	510	349	p11
556	left	343	510	349	p11
557	left	344	510	350	p11
558	left	345	510	350	p11
559	left	346	510	350	p11
560	left	347	510	350	p11
561	left	348	510	351	p11
562	left	349	510	351	p11
563	left	350	510	351	p11
564	left	351	511	352	p11
565	left	352	511	352	p11
566	left	353	511	352	p11
567	left	354	511	352	p11
568	left	355	511	353	p11
569	left	356	511	353	p11
570	left	357	511	353	p11
571	left	358	511	353	p11
572	left	359	512	354	p11
573	left	360	512	354	p11
574	left	361	512	354	p11
575	left	362	512	354	p11
576	left	363	512	356	p11
577	left	364	512	356	p11
578	left	365	512	356	p11
579	left	366	513	357	p11
580	left	367	513	357	p11
581	left	368	513	357	p11
582	left	369	513	357	p11
598	left	370	514	358	p11
599	left	371	514	358	p11
600	left	372	514	358	p11
601	left	373	514	358	p11
602	left	374	514	359	p11
603	left	375	514	359	p11
604	left	376	514	359	p11
605	left	377	514	359	p11
606	left	378	514	361	p11
607	left	379	514	361	p11
608	left	380	514	361	p11
609	left	381	514	362	p11
610	left	382	514	362	p11
611	left	383	514	362	p11
612	left	384	514	362	p11
583	left	385	513	363	p11
584	left	386	513	363	p11
585	left	387	513	363	p11
586	left	388	513	363	p11
587	left	389	513	364	p11
588	left	390	513	364	p11
589	left	391	513	364	p11
590	left	392	513	364	p11
591	left	393	513	365	p11
592	left	394	513	365	p11
593	left	395	513	365	p11
594	left	396	513	366	p11
595	left	397	513	366	p11
596	left	398	513	366	p11
597	left	399	513	366	p11
613	left	400	514	366	p11
614	left	401	514	366	p11
615	left	402	514	366	p11
616	left	403	514	366	p11
617	left	404	514	367	p11
618	left	405	514	367	p11
619	left	406	514	367	p11
620	left	407	514	367	p11
621	left	408	514	368	p11
622	left	409	514	368	p11
623	left	410	514	368	p11
624	left	411	514	368	p11
625	left	412	514	368	p11
626	left	413	514	368	p11
627	left	414	514	368	p11
628	left	415	514	370	p11
629	left	416	514	370	p11
630	left	417	514	370	p11
631	left	418	514	370	p11
643	left	419	515	371	p11
644	left	420	515	371	p11
645	left	421	515	371	p11
646	left	422	515	371	p11
647	left	423	515	372	p11
648	left	424	515	372	p11
649	left	425	515	372	p11
632	left	426	514	373	p11
633	left	427	514	373	p11
634	left	428	514	373	p11
635	left	429	514	373	p11
636	left	430	514	375	p11
637	left	431	514	375	p11
638	left	432	514	375	p11
639	left	433	514	375	p11
650	left	434	515	377	p11
651	left	435	515	377	p11
652	left	436	515	377	p11
653	left	437	515	377	p11
640	left	438	514	377	p11
641	left	439	514	377	p11
642	left	440	514	377	p11
654	left	359	561	360	p12
655	left	360	561	360	p12
656	left	361	561	360	p12
657	left	362	561	360	p12
658	left	363	563	360	p12
659	left	364	563	360	p12
660	left	365	563	360	p12
661	left	366	563	360	p12
662	left	367	563	360	p12
663	left	368	563	360	p12
664	left	369	563	360	p12
665	left	370	564	361	p12
666	left	371	564	361	p12
