camera	frame	cX	cY
200	31	631	141
200	32	631	141
200	33	631	141
200	34	631	141
200	41	211	54
200	42	211	54
100	50	225	476
200	50	91	458
100	51	225	476
200	51	91	458
100	52	225	476
200	52	91	458
100	53	225	476
200	53	91	458
100	54	223	475
200	54	89	457
100	55	223	475
200	55	89	457
100	56	223	475
200	56	89	457
100	57	223	475
200	57	89	457
200	62	629	142
100	69	207	415
200	69	82	403
100	70	207	415
200	70	82	403
100	71	207	415
200	71	82	403
100	72	207	415
200	72	82	403
100	73	203	414
200	73	80	402
200	73	630	142
100	74	203	414
200	74	80	402
200	74	630	142
100	75	203	414
200	75	80	402
200	75	630	142
100	76	93	382
200	76	80	402
200	76	630	142
100	77	93	382
200	77	73	384
200	77	631	142
100	78	93	382
200	78	73	384
200	78	631	142
100	79	93	382
200	79	73	384
200	79	631	142
100	80	93	383
200	80	73	384
100	81	93	383
200	81	73	384
100	82	93	383
200	82	73	384
100	83	93	383
200	83	73	384
100	88	177	361
200	88	61	353
200	88	631	141
100	89	177	361
200	89	61	353
200	89	631	141
100	90	177	361
200	90	61	353
200	90	631	141
100	91	174	360
200	91	61	353
200	91	631	141
100	92	174	360
200	92	60	352
100	93	174	360
200	93	60	352
100	94	174	360
200	94	60	352
100	103	159	315
200	103	46	309
100	104	159	315
200	104	46	309
100	105	159	315
200	105	46	309
100	106	159	315
200	106	46	309
100	107	156	315
200	107	44	309
100	108	156	315
200	108	44	309
100	109	156	315
200	109	44	309
200	110	632	143
200	111	632	143
200	112	632	143
200	113	632	143
100	122	132	259
200	122	24	258
100	123	132	259
200	123	24	258
100	124	132	259
200	124	24	258
100	137	93	203
100	138	93	203
100	139	93	203
100	152	64	165
200	152	630	141
100	153	64	165
200	153	630	141
100	154	64	165
200	154	630	141
200	154	37	33
200	155	630	141
200	159	631	142
200	160	631	142
200	161	631	142
200	162	631	142
100	167	37	140
100	168	37	140
100	169	37	141
100	170	36	140
100	171	36	140
100	172	36	140
100	173	36	140
100	182	16	108
100	183	16	108
100	184	16	108
200	184	629	142
200	185	629	142
200	197	629	141
200	198	629	141
200	199	629	141
200	200	629	141
200	204	632	141
200	205	632	141
200	206	632	141
200	207	632	141
200	219	45	38
200	220	45	38
200	221	45	38
200	222	45	38
100	242	204	186
100	243	204	186
100	244	204	186
200	249	630	141
200	250	630	141
200	251	630	141
200	252	630	141
200	265	632	141
200	266	632	141
200	267	632	141
200	283	632	141
200	284	632	141
200	285	632	141
200	286	632	141
200	300	31	25
200	301	31	25
200	332	630	141
200	333	630	141
200	334	630	142
200	335	630	141
200	336	629	142
200	337	629	142
200	338	629	142
200	347	630	141
200	348	630	141
200	349	630	141
200	350	630	141
200	358	631	142
200	359	631	142
200	360	631	141
200	361	631	141
