date,country,location,VL,linkL,VR,linkR,start,end,offset,name,stereomap,baseline,redownload,recfr,reclip,contourBlack,contourMinpulse,segXMAX,segYMAX,segHPD,segPDMIN,segHPP,pairPSD,pairPFD,pairSRMAX,pairXD,vizMindis
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,23900,24250,-13,southpan1,2019southwater,125,TRUE,TRUE,TRUE,130,0.1,10,10,2,3,0.5,5,5,10,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,24400,24750,-13,southpan2,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,10,10,2,4,0.5,5,5,10,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,25040,25150,-13,southpan3,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,10,10,2,4,10,5,5,10,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,25650,25900,-13,southpan4,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,10,10,2,4,10,5,10,10,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,28800,29110,-13,southpan5,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,7,7,2,3,10,5,5,11,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,30100,30300,-13,southpan6,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,7,7,2,3,10,5,5,11,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,29100,29330,-13,southpan7,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,7,7,2,3,10,5,5,11,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,29375,29600,-13,southpan8,2019southwater,125,FALSE,FALSE,FALSE,130,0.1,7,9,2,3,10,4,6,11,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,29620,29720,-13,southpan9,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,7,7,2,3,10,5,5,11,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,29700,29900,-13,southpan10,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,7,7,2,3,10,5,5,11,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,30850,31150,-13,southpan11,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,7,7,2,3,10,5,5,11,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,31700,31850,-13,southpan12,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,7,7,2,3,10,5,5,11,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,32080,32220,-13,southpan13,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,7,7,2,3,10,5,5,11,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,34750,34950,-13,southpan14,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,7,7,2,3,10,5,5,11,300,20
10/16/19,Belize,Southwater,185538-1_L,1ouXtTiRl70z-hTEcg29FIZlk4pjJUWMQ,185539-2_R,1M_Xkw3Z1Vn96DXFrIDNgjVNV5Wkf-Jhz,36200,36400,-13,southpan15,2019southwater,125,FALSE,FALSE,TRUE,130,0.1,7,7,2,3,10,5,5,11,300,20
