frame	cX	cY	area	minI	maxI	meanI	camera	tank	cXtank	match_status
642	290	392	26.5	181.0	240.0	220.02631578947367	left	left_tank1	105.0	match
642	2189	412	14.0	183.0	255.0	221.3636363636364	right	right_tank1	127.0	match
643	290	393	59.5	181.0	255.0	225.32432432432432	left	left_tank1	105.0	match
643	2070	401	38.0	181.0	251.0	221.7058823529412	right	right_tank1	8.0	
643	2188	411	24.5	181.0	251.0	221.9142857142857	right	right_tank1	126.0	match
644	291	394	56.5	182.0	255.0	230.70422535211267	left	left_tank1	106.0	match
644	2069	402	52.0	181.0	248.0	221.60606060606065	right	right_tank1	7.0	
644	2188	412	48.0	182.0	255.0	228.8032786885246	right	right_tank1	126.0	match
645	291	395	54.5	181.0	255.0	222.0144927536232	left	left_tank1	106.0	match
645	2070	403	65.0	182.0	255.0	224.96202531645568	right	right_tank1	8.0	
645	2189	413	55.5	181.0	255.0	228.2394366197183	right	right_tank1	127.0	match
646	292	394	74.5	181.0	255.0	222.3978494623656	left	left_tank1	107.0	match
646	2070	403	79.5	182.0	255.0	234.63917525773195	right	right_tank1	8.0	
646	2189	412	91.0	181.0	255.0	228.73394495412845	right	right_tank1	127.0	match
647	291	394	68.0	181.0	236.0	216.25882352941176	left	left_tank1	106.0	match
647	2070	403	74.5	182.0	255.0	235.9255319148936	right	right_tank1	8.0	
647	2188	414	64.5	181.0	255.0	226.6296296296296	right	right_tank1	126.0	match
648	292	395	74.0	181.0	232.0	211.02222222222224	left	left_tank1	107.0	match
648	2069	403	84.5	181.0	255.0	223.9708737864077	right	right_tank1	7.0	
648	2188	414	87.5	183.0	252.0	224.7075471698113	right	right_tank1	126.0	match
649	292	395	89.5	181.0	255.0	220.2018348623853	left	left_tank1	107.0	match
649	2069	403	68.5	181.0	255.0	227.1764705882353	right	right_tank1	7.0	
649	2189	414	92.0	181.0	255.0	230.87387387387383	right	right_tank1	127.0	match
650	291	393	86.5	181.0	255.0	228.3269230769231	left	left_tank1	106.0	match
650	2071	403	83.5	182.0	255.0	229.16666666666663	right	right_tank1	9.0	
650	2189	414	108.5	181.0	255.0	230.43410852713177	right	right_tank1	127.0	match
651	292	393	92.0	181.0	255.0	227.8	left	left_tank1	107.0	match
651	2072	403	87.0	181.0	255.0	219.89814814814807	right	right_tank1	10.0	
651	2189	413	120.5	181.0	255.0	229.84615384615384	right	right_tank1	127.0	match
652	293	393	101.0	181.0	255.0	229.28925619834712	left	left_tank1	108.0	match
652	2069	401	92.5	181.0	255.0	225.45454545454544	right	right_tank1	7.0	
652	2189	412	112.0	181.0	255.0	225.5488721804512	right	right_tank1	127.0	match
653	292	394	111.5	181.0	255.0	232.48872180451127	left	left_tank1	107.0	match
653	2071	403	87.0	181.0	255.0	228.3238095238096	right	right_tank1	9.0	
653	2189	413	104.0	181.0	255.0	224.53225806451613	right	right_tank1	127.0	match
654	293	393	112.5	181.0	255.0	236.3257575757576	left	left_tank1	108.0	match
654	2071	402	94.0	181.0	255.0	225.2678571428572	right	right_tank1	9.0	
654	2190	412	107.0	181.0	255.0	226.84126984126985	right	right_tank1	128.0	match
655	292	394	141.0	181.0	255.0	233.01818181818183	left	left_tank1	107.0	match
655	2072	402	93.0	182.0	255.0	225.9009009009009	right	right_tank1	10.0	
655	2189	413	126.5	181.0	255.0	227.2434210526316	right	right_tank1	127.0	match
