camera	frame	cX	cY	area	minI	maxI	meanI
left	1	361	94	6.0	111.0	143.0	124.81818181818183
right	1	120	65	1.5	112.0	144.0	122.66666666666666
right	1	296	96	2.0	114.0	141.0	124.33333333333333
left	2	361	93	4.5	114.0	148.0	124.66666666666666
right	2	120	65	1.5	112.0	144.0	122.66666666666666
right	2	296	96	2.0	114.0	141.0	124.33333333333333
left	3	361	93	4.5	114.0	148.0	124.66666666666666
right	3	120	65	2.0	121.0	138.0	125.85714285714285
right	3	295	96	1.5	112.0	128.0	119.2
left	4	361	93	4.5	114.0	148.0	124.66666666666666
right	4	120	65	2.0	121.0	138.0	125.85714285714285
right	4	295	96	1.5	112.0	128.0	119.2
left	5	361	93	4.5	114.0	148.0	124.66666666666666
right	5	120	65	2.0	121.0	138.0	125.85714285714285
right	5	295	96	1.5	112.0	128.0	119.2
left	6	361	94	5.0	117.0	154.0	127.9
right	6	120	65	2.0	121.0	138.0	125.85714285714285
right	6	295	96	1.5	112.0	128.0	119.2
left	7	361	94	5.0	117.0	154.0	127.9
right	7	295	96	1.0	112.0	147.0	126.25
left	8	361	94	5.0	117.0	154.0	127.9
right	8	295	96	1.0	112.0	147.0	126.25
left	9	361	94	5.0	117.0	154.0	127.9
right	9	295	96	1.0	112.0	147.0	126.25
left	10	361	93	2.0	113.0	140.0	120.4
right	10	295	96	1.0	112.0	147.0	126.25
left	11	361	93	2.0	113.0	140.0	120.4
right	11	120	65	1.5	115.0	143.0	123.80000000000001
right	11	295	96	1.0	123.0	130.0	127.25
left	12	361	93	2.0	113.0	140.0	120.4
right	12	120	65	1.5	115.0	143.0	123.80000000000001
right	12	295	96	1.0	123.0	130.0	127.25
left	13	361	93	2.0	113.0	140.0	120.4
right	13	120	65	1.5	115.0	143.0	123.80000000000001
right	13	295	96	1.0	123.0	130.0	127.25
left	14	360	94	5.0	122.0	165.0	138.1
right	14	120	65	2.0	112.0	145.0	125.33333333333333
right	14	295	96	1.0	133.0	145.0	136.0
left	15	360	94	5.0	122.0	165.0	138.1
right	15	120	65	2.0	112.0	145.0	125.33333333333333
right	15	295	96	1.0	133.0	145.0	136.0
left	16	360	94	5.0	122.0	165.0	138.1
right	16	120	65	2.0	112.0	145.0	125.33333333333333
right	16	295	96	1.0	133.0	145.0	136.0
left	17	360	94	4.0	114.0	148.0	124.77777777777777
right	17	120	65	2.0	112.0	145.0	125.33333333333333
right	17	295	96	1.0	133.0	145.0	136.0
left	18	360	94	4.0	114.0	148.0	124.77777777777777
right	18	120	65	1.5	115.0	137.0	122.0
