pname	lname	rname	start	end	duration	disparity	d2cam	lrd	height
sp0	p1	p10	1	80	2.63	114	1292.32	148.29	210.614
sp1	p2	p11	1	80	2.63	114	1292.32	151.513	247.149
sp2	p3	p12	1	80	2.63	113	1303.756	156.106	285.111
sp3	p4	p13	1	80	2.63	112	1315.397	158.594	323.75
sp4	p5	p14	5	80	2.5	110	1339.313	227.182	211.591
sp5	p6	p15	1	80	2.63	110	1339.313	230.523	248.341
sp6	p7	p16	1	80	2.63	109	1351.6	236.009	287.706
sp7	p8	p17	1	80	2.63	109	1351.6	240.505	325.917
sp0	p1	p10	1	89	2.93	107	1376.864	383.528	204.93
sp1	p2	p11	1	89	2.93	107	1376.864	386.963	242.71
sp2	p3	p12	1	89	2.93	107	1376.864	390.397	282.78
sp3	p4	p13	1	89	2.93	106	1389.853	395.236	323.585
sp4	p5	p14	1	89	2.93	108	1364.115	455.972	195.093
sp5	p6	p15	1	89	2.93	107	1376.864	463.668	236.986
sp6	p7	p16	1	89	2.93	107	1376.864	467.103	274.766
sp7	p8	p17	1	89	2.93	107	1376.864	470.537	314.836
sp0	p1	p10	1	89	2.93	111	1327.247	595.946	178.784
sp1	p2	p11	1	89	2.93	112	1315.397	593.906	214.375
sp2	p3	p12	1	89	2.93	112	1315.397	597.188	251.563
sp3	p4	p13	1	89	2.93	112	1315.397	599.375	288.75
sp4	p5	p14	1	89	2.93	114	1292.32	653.334	166.557
sp5	p6	p15	1	89	2.93	115	1281.082	651.913	201.326
sp6	p7	p16	1	89	2.93	115	1281.082	656.174	238.609
sp7	p8	p17	1	89	2.93	116	1270.038	653.685	272.457
sp0	p1	p10	1	89	2.93	193	763.339	202.474	54.585
sp1	p2	p11	1	89	2.93	192	767.315	206.081	97.617
sp2	p3	p12	1	89	2.93	191	771.332	210.366	141.741
sp3	p4	p13	1	89	2.93	191	771.332	212.932	184.071
sp4	p5	p14	1	89	2.93	191	771.332	289.254	48.102
sp5	p6	p15	1	89	2.93	191	771.332	293.102	91.073
sp6	p7	p16	1	89	2.93	191	771.332	296.95	134.044
sp7	p8	p17	1	89	2.93	191	771.332	300.798	178.298
