pname	lname	rname	start	end	duration	disparity	d2cam	lrd	height
sp0	p14	p26	1	90	2.97	96	640.955	506.589	218.203
sp1	p15	p25	1	90	2.97	109	564.511	452.913	174.197
sp2	p16	p24	1	90	2.97	124	496.223	405.04	130.403
sp3	p17	p23	1	90	2.97	148	415.755	348.463	81.115
sp4	p18	p22	1	90	2.97	187	329.046	287.58	28.823
sp0	p13	p24	3	88	2.83	90	683.685	675.111	243.639
sp1	p14	p25	1	90	2.97	99	621.532	636.01	205.404
sp2	p16	p26	1	90	2.97	111	554.339	593.738	163.333
sp3	p17	p27	1	90	2.97	128	480.716	548.379	117.715
sp4	p21	p28	1	90	2.97	154	399.556	496.363	68.409
