camera	frame	cX	cY
left	1	396	140
left	2	397	140
left	3	397	140
left	4	397	140
left	5	397	140
left	6	397	140
left	7	397	140
left	8	397	140
left	9	397	140
left	10	397	140
left	11	397	140
left	12	397	140
left	13	397	140
left	14	397	140
left	15	397	140
left	16	397	140
left	17	397	140
left	18	397	140
left	19	397	140
left	20	397	140
left	21	397	140
left	22	397	140
left	23	397	140
left	24	397	140
left	25	397	140
left	26	397	140
left	27	397	140
left	28	397	140
left	29	397	140
left	30	397	140
left	31	397	140
left	32	397	140
left	33	397	140
left	34	397	140
left	35	397	140
left	36	397	140
left	36	193	156
left	37	397	140
left	37	193	156
left	38	397	140
left	38	193	156
left	39	397	140
left	39	193	156
left	40	397	140
left	40	193	156
left	41	397	140
left	41	193	156
left	42	397	140
left	42	193	156
left	43	397	140
left	44	397	140
left	45	397	140
left	46	397	140
left	47	397	140
left	47	193	156
left	48	397	140
left	48	193	156
left	49	397	140
left	49	193	156
left	50	397	140
left	50	193	156
left	51	397	140
left	52	397	140
left	53	397	140
left	54	397	140
left	55	397	140
left	56	397	140
left	57	397	140
left	58	397	140
left	59	397	140
left	60	397	140
left	61	397	140
left	62	397	140
left	63	397	140
left	64	397	140
left	65	397	140
left	66	397	140
left	67	397	140
left	68	397	140
left	69	397	140
left	70	397	140
left	71	397	140
left	72	397	140
left	73	397	140
left	74	397	140
left	75	397	140
left	76	397	140
left	77	397	140
left	78	397	140
left	79	397	140
left	80	397	140
left	81	397	140
left	82	397	140
left	83	397	140
left	84	397	140
left	85	397	140
left	86	397	140
left	87	397	140
left	88	396	140
left	89	396	140
left	90	396	140
left	91	396	140
left	92	397	140
left	93	397	140
left	94	397	140
left	95	397	140
left	96	397	140
left	97	397	140
left	98	397	140
left	99	397	140
left	100	397	140
left	101	397	140
left	102	397	140
left	103	397	140
left	104	397	140
left	105	397	140
left	106	397	140
left	107	397	140
left	108	397	140
left	109	397	140
left	110	397	140
left	111	397	140
left	112	397	140
left	113	397	140
left	114	397	140
left	115	397	140
left	116	397	140
left	117	397	140
left	118	396	140
left	119	396	140
left	120	396	140
left	121	396	140
left	122	397	140
left	123	397	140
left	124	397	140
left	125	397	140
left	126	397	140
left	127	397	140
left	128	397	140
left	129	397	140
left	130	397	140
left	131	397	140
left	132	397	140
left	133	397	140
left	134	397	140
left	135	397	140
left	136	397	140
left	137	397	140
left	138	397	140
left	139	397	140
left	140	397	140
left	141	397	140
left	142	397	140
left	143	397	140
left	144	397	140
left	145	396	140
left	146	396	140
left	147	396	140
left	148	397	140
left	149	397	140
left	150	397	140
left	151	397	140
left	152	397	140
left	153	397	140
left	154	397	140
left	155	397	140
left	156	397	140
left	157	397	140
left	158	397	140
left	159	397	140
left	160	397	140
left	161	397	140
right	161	290	138
right	161	222	143
left	162	397	140
right	162	290	138
right	162	222	143
left	163	397	140
right	163	290	138
right	163	222	143
left	164	397	140
right	164	290	138
right	164	222	143
left	165	397	140
right	165	290	138
right	165	222	143
left	166	397	140
right	166	290	138
right	166	222	143
left	167	397	140
right	167	290	138
right	167	222	143
left	168	397	140
right	168	290	138
right	168	223	143
left	169	397	140
right	169	290	139
right	169	222	143
left	170	397	140
right	170	290	139
right	170	222	143
left	171	397	140
right	171	290	139
right	171	222	143
left	172	397	140
right	172	290	139
right	172	222	143
left	173	397	140
right	173	289	139
right	173	223	143
left	174	397	140
right	174	289	139
right	174	223	143
left	175	397	140
right	175	289	139
right	175	223	143
left	176	397	140
right	176	290	139
right	176	223	143
left	177	397	140
right	177	290	139
right	177	223	143
left	178	397	140
right	178	290	139
right	178	223	143
left	179	397	140
right	179	290	139
right	179	223	143
left	180	397	140
right	180	289	139
right	180	222	143
left	181	397	140
right	181	289	139
right	181	222	143
left	182	396	140
right	182	289	139
right	182	222	143
left	183	396	140
right	183	289	139
right	183	222	143
left	184	396	140
right	184	222	143
left	185	396	140
right	185	222	143
left	186	397	140
right	186	222	143
left	187	397	140
right	187	222	143
left	188	397	140
right	188	222	144
left	189	397	140
right	189	222	144
left	190	396	140
right	190	222	144
left	191	396	140
right	191	222	143
left	192	396	140
right	192	222	143
left	193	396	140
right	193	222	143
left	194	396	140
right	194	222	143
left	195	396	140
right	195	222	143
left	196	396	140
right	196	222	143
left	197	397	140
right	197	222	143
left	198	397	140
right	198	222	143
left	199	397	140
right	199	222	143
left	200	397	140
right	200	222	143
left	201	397	140
right	201	222	143
left	202	397	140
right	202	222	143
left	203	397	140
right	203	222	143
left	204	397	140
right	204	222	143
left	205	397	140
right	205	222	143
left	206	397	140
right	206	222	143
left	207	397	140
right	207	222	143
