camera	frame	cX	cY
left	1	402	172
left	1	335	179
left	1	405	207
left	1	338	213
left	1	408	240
left	1	341	247
left	1	411	274
left	1	342	280
left	1	634	441
right	1	294	171
right	1	228	177
right	1	298	205
right	1	231	211
right	1	301	238
right	1	233	245
right	1	304	272
right	1	236	277
right	1	567	427
left	2	401	173
left	2	335	179
left	2	405	207
left	2	338	212
left	2	408	240
left	2	341	247
left	2	411	275
left	2	342	280
left	2	634	440
right	2	294	171
right	2	229	177
right	2	298	205
right	2	231	210
right	2	301	238
right	2	234	244
right	2	304	272
right	2	236	277
right	2	567	427
left	3	401	173
left	3	335	179
left	3	405	207
left	3	338	212
left	3	408	240
left	3	341	247
left	3	411	275
left	3	342	280
left	3	634	440
right	3	294	171
right	3	228	177
right	3	231	211
right	3	301	238
right	3	233	245
right	3	304	272
right	3	236	277
right	3	567	427
left	4	402	173
left	4	335	179
left	4	405	207
left	4	338	212
left	4	408	241
left	4	341	247
left	4	411	275
left	4	342	280
left	4	634	440
right	4	294	171
right	4	228	177
right	4	231	211
right	4	301	238
right	4	233	245
right	4	304	272
right	4	236	277
right	4	567	427
left	5	402	173
left	5	335	179
left	5	405	207
left	5	338	212
left	5	408	241
left	5	341	247
left	5	411	275
left	5	342	280
left	5	634	440
right	5	294	172
right	5	228	177
right	5	297	205
right	5	231	211
right	5	301	238
right	5	233	245
right	5	304	272
right	5	235	277
right	5	567	427
left	6	402	173
left	6	335	179
left	6	405	207
left	6	338	212
left	6	408	241
left	6	341	247
left	6	411	275
left	6	342	280
left	6	634	440
right	6	294	172
right	6	228	177
right	6	297	205
right	6	231	211
right	6	301	238
right	6	233	245
right	6	304	272
right	6	235	277
right	6	567	427
left	7	402	173
left	7	335	179
left	7	405	207
left	7	338	212
left	7	408	241
left	7	341	247
left	7	411	275
left	7	342	280
left	7	634	440
right	7	294	172
right	7	228	177
right	7	297	205
right	7	231	211
right	7	301	238
right	7	233	245
right	7	304	272
right	7	235	277
right	7	567	427
left	8	402	173
left	8	335	179
left	8	405	207
left	8	338	212
left	8	408	240
left	8	341	247
left	8	411	275
left	8	342	279
left	8	634	441
right	8	294	172
right	8	228	177
right	8	297	205
right	8	231	211
right	8	301	238
right	8	233	245
right	8	304	272
right	8	235	277
right	8	567	427
left	9	402	173
left	9	335	179
left	9	405	207
left	9	338	212
left	9	408	240
left	9	341	247
left	9	411	275
left	9	342	279
left	9	634	441
right	9	295	171
right	9	229	176
right	9	298	205
right	9	231	211
right	9	300	238
right	9	234	244
right	9	304	272
right	9	236	277
right	9	567	427
left	10	402	173
left	10	335	179
left	10	405	207
left	10	338	212
left	10	408	240
left	10	341	247
left	10	411	275
left	10	342	279
left	10	634	441
right	10	295	171
right	10	229	176
right	10	298	205
right	10	231	211
right	10	300	238
right	10	234	244
right	10	304	272
right	10	236	277
right	10	567	427
left	11	402	173
left	11	335	179
left	11	405	207
left	11	338	212
left	11	408	240
left	11	341	247
left	11	411	275
left	11	342	279
left	11	634	441
right	11	295	171
right	11	229	176
right	11	298	205
right	11	231	211
right	11	300	238
right	11	234	244
right	11	304	272
right	11	236	277
right	11	567	427
left	12	402	172
left	12	335	179
left	12	405	207
left	12	338	212
left	12	408	240
left	12	341	247
left	12	411	275
left	12	342	280
left	12	634	441
right	12	295	171
right	12	229	176
right	12	298	205
right	12	231	211
right	12	300	238
right	12	234	244
right	12	304	272
right	12	236	277
right	12	567	427
left	13	402	172
left	13	335	179
left	13	405	207
left	13	338	212
left	13	408	240
left	13	341	247
left	13	411	275
left	13	342	280
left	13	634	441
right	13	295	171
right	13	298	205
right	13	231	210
right	13	301	238
right	13	234	245
right	13	304	272
right	13	236	277
right	13	567	427
left	14	402	172
left	14	335	179
left	14	405	207
left	14	338	212
left	14	408	240
left	14	341	247
left	14	411	275
left	14	342	280
left	14	634	441
right	14	295	171
right	14	298	205
right	14	231	210
right	14	301	238
right	14	234	245
right	14	304	272
right	14	236	277
right	14	567	427
left	15	402	172
left	15	335	179
left	15	405	207
left	15	338	212
left	15	408	240
left	15	341	247
left	15	411	275
left	15	342	280
left	15	634	441
right	15	295	171
right	15	298	205
right	15	231	210
right	15	301	238
right	15	234	245
right	15	304	272
right	15	236	277
right	15	567	427
left	16	402	173
left	16	335	179
left	16	405	207
left	16	338	212
left	16	408	240
left	16	341	246
left	16	411	275
left	16	343	280
left	16	634	440
right	16	295	171
right	16	298	205
right	16	231	210
right	16	301	238
right	16	234	245
right	16	304	272
right	16	236	277
right	16	567	427
left	17	402	173
left	17	335	179
left	17	405	207
left	17	338	212
left	17	408	240
left	17	341	246
left	17	411	275
left	17	343	280
left	17	634	440
right	17	295	171
right	17	228	177
right	17	298	205
right	17	231	210
right	17	301	238
right	17	234	245
right	17	304	272
right	17	235	277
right	17	567	427
left	18	402	173
left	18	335	179
left	18	405	207
left	18	338	212
left	18	408	240
left	18	341	246
left	18	411	275
left	18	343	280
left	18	634	440
right	18	295	171
right	18	228	177
right	18	298	205
right	18	231	210
right	18	301	238
right	18	234	245
right	18	304	272
right	18	235	277
right	18	567	427
left	19	402	173
left	19	335	179
left	19	405	207
left	19	338	212
left	19	408	240
left	19	341	246
left	19	411	275
left	19	343	280
left	19	634	440
right	19	295	171
right	19	228	177
right	19	298	205
right	19	231	210
right	19	301	238
right	19	234	245
right	19	304	272
right	19	235	277
right	19	567	427
left	20	402	173
left	20	335	179
left	20	405	207
left	20	338	213
left	20	408	240
left	20	341	246
left	20	411	275
left	20	342	280
left	20	634	441
right	20	295	171
right	20	228	177
right	20	298	205
right	20	231	210
right	20	301	238
right	20	234	245
right	20	304	272
right	20	235	277
right	20	567	427
left	21	402	173
left	21	335	179
left	21	405	207
left	21	338	213
left	21	408	240
left	21	341	246
left	21	411	275
left	21	342	280
left	21	634	441
right	21	295	171
right	21	228	177
right	21	298	205
right	21	231	210
right	21	301	238
right	21	233	244
right	21	304	272
right	21	236	277
right	21	567	427
left	22	402	173
left	22	335	179
left	22	405	207
left	22	338	213
left	22	408	240
left	22	341	246
left	22	411	275
left	22	342	280
left	22	634	441
right	22	295	171
right	22	228	177
right	22	298	205
right	22	231	210
right	22	301	238
right	22	233	244
right	22	304	272
right	22	236	277
right	22	567	427
left	23	402	173
left	23	335	179
left	23	405	207
left	23	338	213
left	23	408	240
left	23	341	246
left	23	411	275
left	23	342	280
left	23	634	441
right	23	295	171
right	23	228	177
right	23	298	205
right	23	231	210
right	23	301	238
right	23	233	244
right	23	304	272
right	23	236	277
right	23	567	427
left	24	402	173
left	24	335	179
left	24	405	207
left	24	338	212
left	24	408	240
left	24	340	247
left	24	411	275
left	24	342	280
left	24	634	441
right	24	295	171
right	24	228	177
right	24	298	205
right	24	231	210
right	24	301	238
right	24	233	244
right	24	304	272
right	24	236	277
right	24	567	427
left	25	402	173
left	25	335	179
left	25	405	207
left	25	338	212
left	25	408	240
left	25	340	247
left	25	411	275
left	25	342	280
left	25	634	441
right	25	294	171
right	25	228	177
right	25	298	205
right	25	231	210
right	25	300	238
right	25	303	272
right	25	236	277
right	25	567	427
left	26	402	173
left	26	335	179
left	26	405	207
left	26	338	212
left	26	408	240
left	26	340	247
left	26	411	275
left	26	342	280
left	26	634	441
right	26	294	171
right	26	228	177
right	26	298	205
right	26	231	210
right	26	300	238
right	26	303	272
right	26	236	277
right	26	567	427
left	27	402	173
left	27	335	179
left	27	405	207
left	27	338	212
left	27	408	240
left	27	340	247
left	27	411	275
