	camera	frame	cX	cY	pulse
0	left	1	396	140	p1
1	left	2	397	140	p1
2	left	3	397	140	p1
3	left	4	397	140	p1
4	left	5	397	140	p1
5	left	6	397	140	p1
6	left	7	397	140	p1
7	left	8	397	140	p1
8	left	9	397	140	p1
9	left	10	397	140	p1
10	left	11	397	140	p1
11	left	12	397	140	p1
12	left	13	397	140	p1
13	left	14	397	140	p1
14	left	15	397	140	p1
15	left	16	397	140	p1
16	left	17	397	140	p1
17	left	18	397	140	p1
18	left	19	397	140	p1
19	left	20	397	140	p1
20	left	21	397	140	p1
21	left	22	397	140	p1
22	left	23	397	140	p1
23	left	24	397	140	p1
24	left	25	397	140	p1
25	left	26	397	140	p1
26	left	27	397	140	p1
27	left	28	397	140	p1
28	left	29	397	140	p1
29	left	30	397	140	p1
30	left	31	397	140	p1
31	left	32	397	140	p1
32	left	33	397	140	p1
33	left	34	397	140	p1
34	left	35	397	140	p1
94	right	3079	290	138	p10
95	right	3080	290	138	p10
96	right	3081	290	138	p10
97	right	3082	290	138	p10
5057	right	480	289	138	p100
5058	right	481	289	138	p100
5059	right	482	289	138	p100
5060	right	483	289	138	p100
5430	right	484	290	139	p100
5431	right	485	290	139	p100
5432	right	486	290	139	p100
5433	right	487	290	139	p100
5069	right	488	290	138	p100
5070	right	489	290	138	p100
5071	right	490	290	138	p100
5072	right	491	290	138	p100
5073	right	492	290	138	p100
5074	right	493	290	138	p100
5075	right	494	290	138	p100
5434	right	495	290	139	p100
5435	right	496	290	139	p100
5436	right	497	290	139	p100
5437	right	498	290	139	p100
5076	right	499	290	138	p100
5077	right	500	290	138	p100
5078	right	501	290	138	p100
5079	right	502	290	138	p100
5080	right	503	290	138	p100
5081	right	504	290	138	p100
5082	right	505	290	138	p100
5083	right	506	290	138	p100
5084	right	507	290	138	p100
5085	right	508	290	138	p100
5086	right	509	290	138	p100
5438	right	510	290	139	p100
5439	right	511	290	139	p100
5440	right	512	290	139	p100
5441	right	513	290	139	p100
5442	right	514	290	139	p100
5443	right	515	290	139	p100
5444	right	516	290	139	p100
5087	right	517	290	138	p100
5088	right	518	290	138	p100
5089	right	519	290	138	p100
5090	right	520	290	138	p100
5091	right	521	290	138	p100
5092	right	522	290	138	p100
5093	right	523	290	138	p100
5094	right	524	290	138	p100
5445	right	525	290	139	p100
5446	right	526	290	139	p100
5447	right	527	290	139	p100
5448	right	528	290	139	p100
5449	right	529	290	139	p100
5450	right	530	290	139	p100
5451	right	531	290	139	p100
5095	right	532	290	138	p100
5096	right	533	290	138	p100
5097	right	534	290	138	p100
5098	right	535	290	138	p100
5452	right	536	290	139	p100
5453	right	537	290	139	p100
5454	right	538	290	139	p100
5455	right	539	290	139	p100
5456	right	540	290	139	p100
5457	right	541	290	139	p100
5458	right	542	290	139	p100
5459	right	543	290	139	p100
5460	right	544	290	139	p100
5461	right	545	290	139	p100
5462	right	546	290	139	p100
5099	right	547	290	138	p100
5100	right	548	290	138	p100
5101	right	549	290	138	p100
5102	right	550	290	138	p100
5103	right	551	290	138	p100
5104	right	552	290	138	p100
5105	right	553	290	138	p100
5106	right	554	290	138	p100
5107	right	555	290	138	p100
5108	right	556	290	138	p100
5109	right	557	290	138	p100
5110	right	558	290	138	p100
5463	right	559	290	139	p100
5464	right	560	290	139	p100
5465	right	561	290	139	p100
5466	right	562	290	139	p100
5467	right	563	290	139	p100
5468	right	564	290	139	p100
5469	right	565	290	139	p100
5470	right	566	290	139	p100
5471	right	567	290	139	p100
5472	right	568	290	139	p100
5473	right	569	290	139	p100
5111	right	570	290	138	p100
5112	right	571	290	138	p100
5113	right	572	290	138	p100
5114	right	573	290	138	p100
5474	right	574	290	139	p100
5475	right	575	290	139	p100
5476	right	576	290	139	p100
5477	right	577	290	139	p100
5478	right	578	290	139	p100
5479	right	579	290	139	p100
5480	right	580	290	139	p100
5481	right	581	290	139	p100
5482	right	582	290	139	p100
5483	right	583	290	139	p100
5484	right	584	290	139	p100
5485	right	585	290	139	p100
5486	right	586	290	139	p100
5487	right	587	290	139	p100
5488	right	588	290	139	p100
5489	right	589	290	139	p100
5490	right	590	290	139	p100
5491	right	591	290	139	p100
5492	right	592	290	139	p100
5493	right	593	290	139	p100
5494	right	594	290	139	p100
5495	right	595	290	139	p100
5115	right	596	290	138	p100
5116	right	597	290	138	p100
5117	right	598	290	138	p100
5118	right	599	290	138	p100
5119	right	600	290	138	p100
5120	right	601	290	138	p100
5121	right	602	290	138	p100
5122	right	603	290	138	p100
5123	right	604	290	138	p100
5124	right	605	290	138	p100
5125	right	606	290	138	p100
5126	right	607	290	138	p100
5127	right	608	290	138	p100
5128	right	609	290	138	p100
5129	right	610	290	138	p100
5130	right	611	290	138	p100
5131	right	612	290	138	p100
5132	right	613	290	138	p100
5133	right	614	290	138	p100
5496	right	615	290	139	p100
5497	right	616	290	139	p100
5498	right	617	290	139	p100
5499	right	618	290	139	p100
5134	right	619	290	138	p100
5135	right	620	290	138	p100
5136	right	621	290	138	p100
5137	right	622	290	138	p100
5138	right	623	290	138	p100
5139	right	624	290	138	p100
5140	right	625	290	138	p100
5141	right	626	290	138	p100
5142	right	627	290	138	p100
5143	right	628	290	138	p100
5144	right	629	290	138	p100
5500	right	630	290	139	p100
5501	right	631	290	139	p100
5502	right	632	290	139	p100
5503	right	633	290	139	p100
5145	right	634	290	138	p100
5146	right	635	290	138	p100
5147	right	636	290	138	p100
5148	right	637	290	138	p100
5149	right	638	290	138	p100
5150	right	639	290	138	p100
5151	right	640	290	138	p100
5504	right	641	290	139	p100
5505	right	642	290	139	p100
5506	right	643	290	139	p100
