	camera	frame	cX	cY	pulse
49	left	1	139	196	p1
50	left	2	139	196	p1
51	left	3	139	196	p1
52	left	4	139	196	p1
0	left	5	138	196	p1
1	left	6	138	196	p1
2	left	7	138	196	p1
3	left	8	138	196	p1
53	left	9	139	196	p1
54	left	10	139	196	p1
55	left	11	139	196	p1
56	left	12	139	196	p1
4	left	13	138	196	p1
5	left	14	138	196	p1
6	left	15	138	196	p1
7	left	16	138	196	p1
8	left	17	138	196	p1
9	left	18	138	196	p1
10	left	19	138	196	p1
11	left	20	138	196	p1
12	left	21	138	196	p1
13	left	22	138	196	p1
14	left	23	138	196	p1
15	left	24	138	196	p1
16	left	25	138	196	p1
17	left	26	138	196	p1
18	left	27	138	196	p1
19	left	28	138	196	p1
57	left	29	139	196	p1
58	left	30	139	196	p1
59	left	31	139	196	p1
60	left	32	139	196	p1
20	left	33	138	196	p1
21	left	34	138	196	p1
22	left	35	138	196	p1
23	left	36	138	196	p1
61	left	37	139	196	p1
62	left	38	139	196	p1
63	left	39	139	196	p1
64	left	40	139	196	p1
24	left	41	138	196	p1
25	left	42	138	196	p1
26	left	43	138	196	p1
27	left	44	138	196	p1
65	left	45	139	196	p1
66	left	46	139	196	p1
67	left	47	139	196	p1
68	left	48	139	196	p1
28	left	49	138	196	p1
29	left	50	138	196	p1
30	left	51	138	196	p1
31	left	52	138	196	p1
32	left	53	138	196	p1
33	left	54	138	196	p1
34	left	55	138	196	p1
35	left	56	138	196	p1
36	left	57	138	196	p1
37	left	58	138	196	p1
38	left	59	138	196	p1
39	left	60	138	196	p1
40	left	61	138	196	p1
41	left	62	138	196	p1
42	left	63	138	196	p1
69	left	64	139	196	p1
70	left	65	139	196	p1
71	left	66	139	196	p1
72	left	67	139	196	p1
73	left	68	139	196	p1
74	left	69	139	196	p1
75	left	70	139	196	p1
43	left	71	138	196	p1
44	left	72	138	196	p1
45	left	73	138	196	p1
46	left	74	138	196	p1
76	left	75	139	196	p1
77	left	76	139	196	p1
78	left	77	139	196	p1
79	left	78	139	196	p1
47	left	79	138	196	p1
48	left	80	138	196	p1
767	right	1	25	193	p10
768	right	2	25	193	p10
769	right	3	25	193	p10
770	right	4	25	193	p10
723	right	5	24	193	p10
724	right	6	24	193	p10
725	right	7	24	193	p10
726	right	8	24	193	p10
716	right	9	24	192	p10
717	right	10	24	192	p10
718	right	11	24	192	p10
719	right	16	24	192	p10
720	right	17	24	192	p10
721	right	18	24	192	p10
722	right	19	24	192	p10
771	right	20	25	193	p10
772	right	21	25	193	p10
773	right	22	25	193	p10
774	right	23	25	193	p10
727	right	24	24	193	p10
728	right	25	24	193	p10
729	right	26	24	193	p10
730	right	27	24	193	p10
731	right	28	24	193	p10
732	right	29	24	193	p10
733	right	30	24	193	p10
734	right	31	24	193	p10
735	right	32	24	193	p10
736	right	33	24	193	p10
737	right	34	24	193	p10
738	right	39	24	193	p10
739	right	40	24	193	p10
740	right	41	24	193	p10
741	right	42	24	193	p10
742	right	43	24	193	p10
743	right	44	24	193	p10
744	right	45	24	193	p10
775	right	46	25	193	p10
776	right	47	25	193	p10
777	right	48	25	193	p10
778	right	49	25	193	p10
745	right	50	24	193	p10
746	right	51	24	193	p10
747	right	52	24	193	p10
748	right	53	24	193	p10
749	right	54	24	193	p10
750	right	55	24	193	p10
751	right	56	24	193	p10
752	right	57	24	193	p10
753	right	58	24	193	p10
754	right	59	24	193	p10
755	right	60	24	193	p10
779	right	61	25	193	p10
780	right	62	25	193	p10
781	right	63	25	193	p10
782	right	64	25	193	p10
783	right	65	25	193	p10
784	right	66	25	193	p10
785	right	67	25	193	p10
786	right	68	25	193	p10
756	right	69	24	193	p10
757	right	70	24	193	p10
758	right	71	24	193	p10
759	right	72	24	193	p10
760	right	73	24	193	p10
761	right	74	24	193	p10
762	right	75	24	193	p10
763	right	76	24	193	p10
764	right	77	24	193	p10
765	right	78	24	193	p10
766	right	79	24	193	p10
802	right	1	28	228	p11
803	right	2	28	228	p11
804	right	3	28	228	p11
805	right	4	28	228	p11
787	right	20	27	228	p11
788	right	21	27	228	p11
789	right	22	27	228	p11
790	right	23	27	228	p11
791	right	46	27	228	p11
792	right	47	27	228	p11
793	right	48	27	228	p11
794	right	49	27	228	p11
806	right	57	28	228	p11
807	right	58	28	228	p11
808	right	59	28	228	p11
809	right	60	28	228	p11
795	right	61	27	228	p11
796	right	62	27	228	p11
797	right	63	27	228	p11
798	right	64	27	228	p11
799	right	69	27	228	p11
800	right	70	27	228	p11
801	right	71	27	228	p11
810	right	1	31	262	p12
811	right	2	31	262	p12
812	right	3	31	262	p12
813	right	4	31	262	p12
814	right	9	31	262	p12
815	right	10	31	262	p12
816	right	11	31	262	p12
817	right	12	31	262	p12
818	right	13	31	262	p12
819	right	14	31	262	p12
820	right	15	31	262	p12
821	right	20	31	262	p12
822	right	21	31	262	p12
823	right	22	31	262	p12
824	right	23	31	262	p12
825	right	24	31	262	p12
826	right	25	31	262	p12
827	right	26	31	262	p12
828	right	27	31	262	p12
829	right	28	31	262	p12
830	right	29	31	262	p12
831	right	30	31	262	p12
832	right	31	31	262	p12
833	right	32	31	262	p12
834	right	33	31	262	p12
835	right	34	31	262	p12
836	right	35	31	262	p12
837	right	36	31	262	p12
838	right	37	31	262	p12
839	right	38	31	262	p12
840	right	39	31	262	p12
841	right	40	31	262	p12
842	right	41	31	262	p12
843	right	46	31	262	p12
844	right	47	31	262	p12
845	right	48	31	262	p12
846	right	49	31	262	p12
867	right	54	32	262	p12
868	right	55	32	262	p12
869	right	56	32	262	p12
847	right	57	31	262	p12
848	right	58	31	262	p12
849	right	59	31	262	p12
850	right	60	31	262	p12
851	right	61	31	262	p12
852	right	62	31	262	p12
853	right	63	31	262	p12
854	right	64	31	262	p12
870	right	65	32	262	p12
871	right	66	32	262	p12
872	right	67	32	262	p12
873	right	68	32	262	p12
855	right	69	31	262	p12
856	right	70	31	262	p12
857	right	71	31	262	p12
858	right	72	31	262	p12
859	right	73	31	262	p12
860	right	74	31	262	p12
861	right	75	31	262	p12
862	right	76	31	262	p12
863	right	77	31	262	p12
864	right	78	31	262	p12
865	right	79	31	262	p12
866	right	80	31	262	p12
874	right	1	33	296	p13
875	right	2	33	296	p13
876	right	3	33	296	p13
877	right	4	33	296	p13
925	right	5	34	296	p13
926	right	6	34	296	p13
927	right	7	34	296	p13
928	right	8	34	296	p13
929	right	9	34	296	p13
930	right	10	34	296	p13
931	right	11	34	296	p13
932	right	12	34	296	p13
933	right	13	34	296	p13
934	right	14	34	296	p13
935	right	15	34	296	p13
878	right	16	33	296	p13
879	right	17	33	296	p13
880	right	18	33	296	p13
881	right	19	33	296	p13
882	right	20	33	296	p13
883	right	21	33	296	p13
884	right	22	33	296	p13
885	right	23	33	296	p13
936	right	24	34	296	p13
937	right	25	34	296	p13
938	right	26	34	296	p13
939	right	27	34	296	p13
940	right	28	34	296	p13
941	right	29	34	296	p13
942	right	30	34	296	p13
886	right	31	33	296	p13
887	right	32	33	296	p13
888	right	33	33	296	p13
889	right	34	33	296	p13
890	right	35	33	296	p13
891	right	36	33	296	p13
892	right	37	33	296	p13
893	right	38	33	296	p13
943	right	39	34	296	p13
944	right	40	34	296	p13
945	right	41	34	296	p13
894	right	42	33	296	p13
895	right	43	33	296	p13
896	right	44	33	296	p13
897	right	45	33	296	p13
898	right	46	33	296	p13
899	right	47	33	296	p13
900	right	48	33	296	p13
901	right	49	33	296	p13
902	right	50	33	296	p13
903	right	51	33	296	p13
904	right	52	33	296	p13
905	right	53	33	296	p13
906	right	54	33	296	p13
907	right	55	33	296	p13
908	right	56	33	296	p13
909	right	57	33	296	p13
910	right	58	33	296	p13
911	right	59	33	296	p13
912	right	60	33	296	p13
946	right	61	34	296	p13
947	right	62	34	296	p13
948	right	63	34	296	p13
949	right	64	34	296	p13
913	right	65	33	296	p13
914	right	66	33	296	p13
915	right	67	33	296	p13
916	right	68	33	296	p13
917	right	69	33	296	p13
918	right	70	33	296	p13
919	right	71	33	296	p13
950	right	72	34	296	p13
951	right	73	34	296	p13
952	right	74	34	296	p13
953	right	75	34	296	p13
920	right	76	33	296	p13
921	right	77	33	296	p13
922	right	78	33	296	p13
923	right	79	33	296	p13
924	right	80	33	296	p13
954	right	9	93	187	p14
955	right	10	93	187	p14
956	right	11	93	187	p14
980	right	12	94	187	p14
981	right	13	94	187	p14
982	right	14	94	187	p14
983	right	15	94	187	p14
984	right	20	94	187	p14
985	right	21	94	187	p14
986	right	22	94	187	p14
987	right	23	94	187	p14
988	right	27	94	187	p14
989	right	28	94	187	p14
990	right	29	94	187	p14
991	right	30	94	187	p14
976	right	31	94	186	p14
977	right	32	94	186	p14
978	right	33	94	186	p14
979	right	34	94	186	p14
957	right	35	93	187	p14
958	right	36	93	187	p14
959	right	37	93	187	p14
960	right	38	93	187	p14
961	right	50	93	187	p14
962	right	51	93	187	p14
963	right	52	93	187	p14
964	right	53	93	187	p14
965	right	54	93	187	p14
966	right	55	93	187	p14
967	right	56	93	187	p14
992	right	61	94	187	p14
993	right	62	94	187	p14
994	right	63	94	187	p14
995	right	64	94	187	p14
968	right	65	93	187	p14
969	right	66	93	187	p14
970	right	67	93	187	p14
971	right	68	93	187	p14
996	right	72	94	187	p14
997	right	73	94	187	p14
998	right	74	94	187	p14
999	right	75	94	187	p14
972	right	76	93	187	p14
973	right	77	93	187	p14
974	right	78	93	187	p14
975	right	79	93	187	p14
1000	right	80	94	187	p14
1001	right	1	97	221	p15
1002	right	2	97	221	p15
1003	right	3	97	221	p15
1004	right	4	97	221	p15
1005	right	9	97	221	p15
1006	right	10	97	221	p15
1007	right	11	97	221	p15
1008	right	12	97	221	p15
1009	right	13	97	221	p15
1010	right	14	97	221	p15
1011	right	15	97	221	p15
1012	right	20	97	221	p15
1051	right	21	98	221	p15
1013	right	22	97	221	p15
1014	right	23	97	221	p15
1015	right	24	97	221	p15
1016	right	25	97	221	p15
1017	right	26	97	221	p15
1018	right	27	97	221	p15
1019	right	28	97	221	p15
1020	right	29	97	221	p15
1021	right	30	97	221	p15
1022	right	31	97	221	p15
1023	right	32	97	221	p15
1024	right	33	97	221	p15
1025	right	34	97	221	p15
1026	right	35	97	221	p15
1027	right	36	97	221	p15
1028	right	37	97	221	p15
1029	right	38	97	221	p15
1052	right	39	98	221	p15
1053	right	40	98	221	p15
1054	right	41	98	221	p15
1030	right	46	97	221	p15
1031	right	47	97	221	p15
1032	right	48	97	221	p15
1033	right	49	97	221	p15
1034	right	50	97	221	p15
1035	right	51	97	221	p15
1036	right	52	97	221	p15
1037	right	53	97	221	p15
1055	right	57	98	221	p15
1056	right	58	98	221	p15
1057	right	59	98	221	p15
1058	right	60	98	221	p15
1038	right	61	97	221	p15
1039	right	62	97	221	p15
1040	right	63	97	221	p15
1041	right	64	97	221	p15
1042	right	65	97	221	p15
1043	right	66	97	221	p15
1044	right	67	97	221	p15
1045	right	68	97	221	p15
1046	right	72	97	221	p15
1047	right	73	97	221	p15
1048	right	74	97	221	p15
1049	right	75	97	221	p15
1059	right	76	98	221	p15
1060	right	77	98	221	p15
1061	right	78	98	221	p15
1062	right	79	98	221	p15
1050	right	80	97	221	p15
1067	right	5	101	255	p16
1068	right	6	101	255	p16
