	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	spulse
0	left	p1	1	89	335	336	335	179	179	179	sp0
0	right	p10	1	89	228	229	228	176	177	177	sp0
1	left	p2	1	89	338	338	338	212	213	212	sp1
1	right	p11	1	89	230	231	231	210	211	211	sp1
2	left	p3	1	89	340	341	341	246	247	247	sp2
2	right	p12	1	89	233	234	234	244	245	245	sp2
3	left	p4	1	89	342	343	342	279	280	280	sp3
3	right	p13	1	89	235	236	236	277	277	277	sp3
4	left	p5	1	89	401	402	402	172	173	172	sp4
4	right	p14	1	89	294	295	294	171	172	171	sp4
5	left	p6	1	89	405	405	405	206	207	207	sp5
5	right	p15	1	89	297	298	298	205	205	205	sp5
6	left	p7	1	89	408	408	408	240	241	240	sp6
6	right	p16	1	89	300	301	301	238	239	238	sp6
7	left	p8	1	89	411	412	411	274	275	275	sp7
7	right	p17	1	89	303	304	304	272	272	272	sp7
