frame	dist	x	y	xmin	xmax	ymin	ymax
2	87.88	193.1	347.29	100.33	291.21	275.67	423.35
3	87.85	190.77	346.39	97.79	289.05	274.62	423.12
4	88.04	188.35	345.73	94.99	287.01	272.86	422.65
5	88.07	186.36	345.31	93.23	285.76	272.88	422.38
6	88.29	184.89	344.87	91.05	284.51	271.67	422.45
7	88.65	183.18	344.39	89.32	283.18	271.02	422.39
8	88.61	183.11	344.41	89.47	283.11	271.12	422.4
9	88.69	183.17	344.53	89.55	283.61	271.07	422.64
10	89.18	183.81	344.96	89.46	284.13	270.93	423.57
11	89.2	184.89	345.74	89.89	285.32	272.04	423.76
12	89.3	187.36	347.29	92.8	287.43	274.43	424.82
13	89.24	188.5	347.88	93.35	288.78	274.55	424.95
14	89.15	189.24	348.51	94.34	289.72	276.67	425.03
15	88.97	189.7	348.84	94.89	289.37	276.9	425.12
16	88.89	189.85	349.04	95.53	289.4	276.67	425.06
17	88.71	189.89	349.14	95.99	289.26	278.06	425.06
18	87.61	188.47	349.0	95.95	286.59	277.35	424.03
19	87.07	187.05	348.69	95.3	284.39	277.39	423.64
20	86.61	185.41	348.24	94.26	282.62	277.19	423.44
21	86.02	183.56	347.69	93.43	279.3	276.86	422.42
22	85.43	181.56	347.16	91.6	276.59	276.26	421.91
23	84.32	177.34	345.71	88.86	271.64	275.3	419.97
24	83.87	175.22	345.08	87.77	269.34	275.43	419.53
25	83.43	173.13	344.18	86.35	267.28	273.8	418.62
26	83.0	171.19	343.48	84.59	264.38	272.95	418.08
27	82.62	169.7	342.69	83.71	262.43	272.65	416.97
28	82.4	168.35	342.22	82.93	261.16	271.6	416.66
29	81.99	166.46	341.2	81.66	258.95	270.9	415.65
30	81.87	166.13	341.07	81.19	258.91	270.92	415.42
31	81.86	165.86	340.98	80.86	258.24	270.53	415.23
32	81.79	165.68	341.08	81.19	258.15	270.55	415.24
33	81.71	165.57	341.19	81.15	257.82	270.71	415.24
34	81.31	165.67	341.86	81.0	257.9	271.9	415.59
35	81.37	165.68	342.01	80.81	257.88	271.68	416.27
36	81.16	165.57	342.18	80.79	256.71	272.61	415.42
37	81.04	165.54	342.23	81.17	256.65	272.49	414.95
38	80.93	165.34	342.15	81.31	256.15	272.6	414.75
39	80.67	164.54	340.32	78.52	255.92	271.68	413.25
40	80.5	164.08	339.8	77.76	255.76	271.29	412.52
41	80.36	163.58	339.26	77.61	255.1	270.17	412.02
42	80.22	163.2	338.81	77.32	253.88	270.64	411.43
43	80.16	162.78	338.44	76.51	253.64	270.38	411.08
44	79.99	162.39	338.17	77.63	252.61	270.22	410.6
45	79.65	161.89	337.83	77.29	251.99	270.26	410.37
46	79.51	160.27	337.39	76.93	249.97	269.56	410.12
47	79.39	159.71	337.3	76.85	248.82	269.46	410.25
48	79.45	159.18	337.09	76.72	247.89	269.36	409.27
49	79.17	158.35	336.93	77.02	246.69	269.04	409.03
50	79.06	157.57	336.77	77.01	245.71	269.04	409.01
51	79.01	155.85	336.45	75.36	243.75	268.69	408.65
52	79.02	155.47	336.46	74.69	243.32	268.87	408.93
53	79.03	155.19	336.44	75.04	243.06	269.14	408.84
54	78.99	154.9	336.44	75.09	243.05	269.22	409.53
55	79.09	154.79	336.61	74.18	242.95	269.22	410.48
56	79.1	154.81	336.81	74.15	243.06	268.89	407.88
57	79.18	154.87	336.95	74.2	243.25	268.87	407.63
58	79.22	154.88	336.97	74.25	243.17	269.55	407.65
59	79.23	154.91	336.96	74.19	242.94	269.75	407.52
60	79.27	154.42	336.42	72.82	242.31	269.52	407.0
61	78.95	152.9	335.53	71.52	240.03	268.35	406.12
62	78.61	148.89	333.3	68.28	235.55	265.53	403.24
63	78.42	146.84	332.02	67.0	234.06	264.4	402.45
64	78.27	144.53	330.61	65.16	231.22	262.18	402.38
65	78.03	142.61	329.36	64.16	229.23	261.9	401.52
66	77.85	140.42	328.25	61.95	226.72	260.52	399.9
67	77.66	137.23	326.3	58.69	224.24	259.73	398.3
68	77.64	136.43	325.89	59.14	223.15	259.56	397.5
69	77.55	135.88	325.51	58.26	222.44	259.17	397.55
70	77.64	135.73	325.44	58.24	222.25	258.59	397.55
71	77.71	135.66	325.41	58.24	222.31	258.54	397.14
72	77.86	135.75	325.7	57.45	222.4	258.4	397.6
73	78.6	137.37	327.8	58.65	224.24	260.84	399.11
74	78.86	138.0	328.79	58.6	225.15	261.89	399.57
75	79.06	138.75	329.84	58.14	225.83	262.8	400.54
76	79.35	139.33	330.68	59.99	227.12	262.75	401.42
77	79.59	139.82	331.23	61.04	228.3	263.87	402.66
78	79.92	141.23	332.15	61.59	229.44	264.42	403.53
79	80.12	141.52	332.19	61.58	229.89	264.43	403.66
80	80.26	142.27	332.66	61.94	231.59	264.66	403.82
81	80.44	143.0	333.2	62.38	230.68	264.85	404.56
82	80.49	143.88	333.59	63.0	232.36	265.78	404.78
83	80.75	145.94	334.42	65.09	235.88	266.28	405.44
84	81.11	146.9	334.69	65.15	236.66	266.55	406.06
85	81.05	147.94	334.9	66.03	236.87	266.77	405.63
86	81.02	149.3	335.29	67.4	238.54	267.89	405.95
87	81.1	150.61	335.64	68.8	239.95	268.28	406.44
89	81.28	155.25	336.19	73.32	244.94	268.76	407.54
90	81.35	156.44	336.13	73.06	245.01	268.69	406.76
91	81.19	157.3	335.92	75.57	246.6	268.24	405.72
92	81.13	157.92	336.0	76.53	247.39	268.29	405.69
93	81.11	158.41	336.03	76.71	247.45	268.38	405.88
94	80.99	158.85	336.19	78.35	247.34	268.48	406.16
95	81.04	158.99	336.21	78.26	247.42	268.32	406.34
96	80.67	159.27	336.35	78.64	247.32	268.47	406.51
97	80.83	160.03	336.6	79.67	248.48	268.86	406.47
98	80.56	161.25	336.92	80.42	249.96	269.08	407.11
99	81.07	162.88	337.21	80.89	251.48	270.42	407.84
100	81.12	166.41	338.63	84.0	255.53	272.51	408.63
101	81.53	168.2	339.44	84.94	257.65	272.51	409.51
102	81.54	169.82	340.48	86.93	259.58	274.27	410.32
103	81.76	171.26	341.26	86.78	261.2	274.38	410.49
104	81.83	172.64	342.1	88.59	262.92	275.1	411.54
105	82.13	173.84	342.98	89.79	264.25	275.23	413.03
106	82.35	174.66	343.82	90.61	264.89	275.63	414.23
107	82.31	176.35	345.28	91.63	266.07	277.84	415.39
108	82.34	176.6	345.78	91.62	267.19	278.01	415.39
109	82.38	176.99	346.16	92.43	267.18	278.95	415.5
110	82.34	177.2	346.32	92.1	267.78	278.8	415.52
111	82.22	177.24	346.32	92.1	267.61	278.82	415.62
112	81.54	175.33	345.46	91.18	265.21	278.42	416.04
113	81.04	173.72	344.78	90.72	263.41	277.58	415.15
114	80.61	172.15	343.97	88.5	261.89	276.73	414.35
116	79.86	170.41	342.77	88.51	258.72	276.61	412.68
117	79.36	169.61	342.22	87.61	257.71	276.94	411.3
118	79.26	169.49	342.16	87.76	257.56	276.86	411.03
119	79.1	169.51	342.15	87.64	257.39	276.8	411.17
120	78.9	169.42	342.27	87.86	255.98	277.03	411.12
121	78.54	169.44	342.53	88.63	255.89	276.9	410.77
122	78.17	169.71	342.86	88.67	256.61	277.5	411.2
123	77.56	171.15	344.04	90.63	257.11	279.86	411.83
124	77.14	172.1	344.76	93.34	257.3	280.69	411.9
125	76.94	173.01	345.7	93.34	257.95	281.54	411.86
126	76.73	173.81	346.68	95.47	258.23	283.18	412.32
127	76.58	174.42	347.34	95.04	258.68	284.11	414.45
128	76.27	175.69	348.81	96.71	259.12	285.02	415.09
129	76.17	176.35	349.54	97.86	260.88	286.54	415.1
