	camera	frame	cX	cY	area	minI	maxI	meanI	pulse
0	left	2	201	248	12.0	133.0	162.0	143.8	p1
1	left	3	201	248	12.0	133.0	162.0	143.8	p1
2	left	4	201	248	12.5	131.0	164.0	144.85	p1
3	left	5	201	248	14.0	133.0	166.0	145.42857142857142	p1
48	right	53	353	70	4.5	131.0	152.0	136.9	p10
49	right	54	353	70	4.5	131.0	152.0	136.9	p10
50	right	55	353	70	4.5	131.0	152.0	136.9	p10
40	right	56	353	69	37.5	131.0	180.0	152.6938775510204	p10
41	right	57	353	69	37.5	131.0	180.0	152.6938775510204	p10
42	right	58	353	69	37.5	131.0	180.0	152.6938775510204	p10
43	right	59	353	69	37.5	131.0	180.0	152.6938775510204	p10
44	right	60	350	70	18.5	131.0	182.0	150.8148148148148	p10
45	right	61	350	70	18.5	131.0	182.0	150.8148148148148	p10
46	right	62	350	70	18.5	131.0	182.0	150.8148148148148	p10
47	right	63	350	70	18.5	131.0	182.0	150.8148148148148	p10
54	right	79	320	86	26.0	131.0	177.0	150.45714285714286	p11
55	right	80	320	86	26.0	131.0	177.0	150.45714285714286	p11
56	right	81	320	86	26.0	131.0	177.0	150.45714285714286	p11
57	right	82	320	86	26.0	131.0	177.0	150.45714285714286	p11
51	right	83	318	85	19.0	131.0	182.0	154.88888888888889	p11
52	right	84	318	85	19.0	131.0	182.0	154.88888888888889	p11
53	right	85	318	85	19.0	131.0	182.0	154.88888888888889	p11
58	left	13	139	310	60.5	131.0	180.0	160.16	p12
59	left	14	139	310	60.5	131.0	180.0	160.16	p12
60	left	15	139	310	60.5	131.0	180.0	160.16	p12
61	left	16	139	310	60.5	131.0	180.0	160.16	p12
62	left	17	133	313	57.5	133.0	184.0	158.18055555555554	p12
63	left	18	133	313	57.5	133.0	184.0	158.18055555555554	p12
64	left	19	133	313	57.5	133.0	184.0	158.18055555555554	p12
65	left	20	133	313	57.5	133.0	184.0	158.18055555555554	p12
69	right	98	302	107	7.5	135.0	182.0	154.0	p13
70	right	99	302	107	7.5	135.0	182.0	154.0	p13
71	right	100	302	107	7.5	135.0	182.0	154.0	p13
72	right	101	302	107	7.5	135.0	182.0	154.0	p13
66	right	102	302	106	17.0	131.0	186.0	157.32	p13
67	right	103	302	106	17.0	131.0	186.0	157.32	p13
68	right	104	302	106	17.0	131.0	186.0	157.32	p13
73	right	105	38	55	11.0	131.0	175.0	150.05555555555554	p14
74	right	106	38	55	11.0	131.0	175.0	150.05555555555554	p14
75	right	107	38	55	11.0	131.0	175.0	150.05555555555554	p14
76	right	108	38	55	11.0	131.0	175.0	150.05555555555554	p14
77	right	120	289	131	15.5	131.0	189.0	154.34782608695653	p15
78	right	121	289	131	15.5	131.0	189.0	154.34782608695653	p15
79	right	122	289	131	15.5	131.0	189.0	154.34782608695653	p15
80	right	123	289	131	15.5	131.0	189.0	154.34782608695653	p15
81	right	135	279	161	4.0	132.0	156.0	141.77777777777777	p16
82	right	136	279	161	4.0	132.0	156.0	141.77777777777777	p16
83	right	137	279	161	4.0	132.0	156.0	141.77777777777777	p16
84	right	138	279	161	4.0	132.0	156.0	141.77777777777777	p16
85	right	139	276	162	11.0	135.0	184.0	151.2222222222222	p16
86	right	140	276	162	11.0	135.0	184.0	151.2222222222222	p16
87	right	141	276	162	11.0	135.0	184.0	151.2222222222222	p16
88	right	142	276	162	11.0	131.0	182.0	151.94444444444443	p16
89	right	158	248	191	10.5	134.0	180.0	149.21052631578945	p17
90	right	159	248	191	10.5	134.0	180.0	149.21052631578945	p17
91	right	160	248	191	10.5	134.0	180.0	149.21052631578945	p17
92	right	161	248	191	10.5	134.0	180.0	149.21052631578945	p17
93	right	192	3	86	6.0	131.0	150.0	135.75	p18
94	right	193	3	86	6.0	131.0	150.0	135.75	p18
95	right	194	3	86	6.0	131.0	150.0	135.75	p18
108	left	21	399	67	5.0	131.0	147.0	139.6	p19
109	left	22	399	67	5.0	131.0	147.0	139.6	p19
110	left	23	399	67	5.0	131.0	147.0	139.6	p19
104	left	24	400	65	39.5	131.0	184.0	154.80392156862746	p19
105	left	25	400	65	39.5	131.0	184.0	154.80392156862746	p19
106	left	26	400	65	39.5	131.0	184.0	154.80392156862746	p19
107	left	27	400	65	39.5	131.0	184.0	154.80392156862746	p19
96	left	28	400	63	45.5	133.0	187.0	154.86206896551724	p19
97	left	29	400	63	45.5	133.0	187.0	154.86206896551724	p19
98	left	30	400	63	45.5	133.0	187.0	154.86206896551724	p19
