	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	maxI	meanI	meanArea	spulse
0	left	p1	1	46	360	361	360	93	94	93	159.0	125.44330886504802	3.7717391304347827	sp0
2	right	p3	1	43	295	296	295	96	96	96	154.0	122.1890625	1.328125	sp0
1	left	p13	209	290	359	360	359	211	212	212	182.0	132.60873499806425	3.2865853658536586	sp1
4	right	p6	210	291	294	295	295	212	213	213	178.0	131.5718302361596	2.975609756097561	sp1
2	left	p14	329	366	358	358	358	269	270	269	162.0	123.95877192982464	1.894736842105263	sp2
5	right	p7	330	411	293	295	294	269	270	269	169.0	127.33399632210615	2.725609756097561	sp2
3	left	p19	374	538	355	357	356	325	326	326	165.0	125.05767477203644	1.8882978723404256	sp3
6	right	p8	367	539	292	294	292	325	325	325	170.0	127.15786267995571	1.7790697674418605	sp3
4	left	p2	693	756	346	348	347	434	436	436	173.0	125.00150793650788	2.8916666666666666	sp4
1	right	p11	694	756	285	287	286	430	432	432	159.0	119.50285080772886	2.0121951219512195	sp4
5	left	p20	577	666	349	353	352	379	382	381	172.0	129.53688191438187	2.933333333333333	sp5
0	right	p10	577	659	287	291	290	376	380	379	166.0	126.894333936106	2.050632911392405	sp5
6	left	p9	81	167	359	360	360	153	154	153	175.0	132.00534117861702	3.7471264367816093	sp6
3	right	p4	82	167	294	295	295	154	155	155	166.0	124.86775101513469	2.7732558139534884	sp6
