	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	spulse
0	left	p12	163	170	453	454	453	89	89	89	sp0
0	right	p2	161	168	333	335	333	88	88	88	sp0
1	left	p14	178	185	431	435	431	135	136	135	sp1
1	right	p3	180	187	320	320	320	136	138	136	sp1
2	left	p15	197	204	438	439	438	184	187	184	sp2
2	right	p4	195	202	321	322	321	186	190	186	sp2
3	left	p16	216	219	433	433	433	244	244	244	sp3
3	right	p5	214	217	312	312	312	250	250	250	sp3
4	left	p17	231	234	423	423	423	305	305	305	sp4
4	right	p6	229	232	305	305	305	312	312	312	sp4
5	left	p18	246	249	384	384	384	363	363	363	sp5
5	right	p7	244	247	269	269	269	371	371	371	sp5
